Alberca,393,345
Aulas 5,755,284
Aulas 6,745,416
Biblioteca,554,326
Biblioteca Estacionamiento,579,327
Cafeteria,592,537
Centro Cultural 1,343,361
Centro Cultural 2,283,357
Centro de Congresos,441,565
Comida Med,260,424
Comida Prepa,757,335
CyberPlaza,504,354
Domo Deportivo,497,248
E 1,508,398
E 1 Parking,600,396
E 2 - 3,431,401
E 3 - 4,325,407
E Admin 1,463,438
E Admin 2,524,485
Edificio 4,254,392
Edificio LAD,596,252
EIAD 1,563,121
EIAD 2,548,125
Entrada A,699,660
Entrada B,622,672
Entrada Secundaria,764,54
Entrada Sole,472,674
Entrada Visitantes,353,607
Ex ed arqui,263,449
Expreso Tec,730,239
Fortaleza Azul,247,140
Gimnasio,435,263
Ing Civil,692,119
Medicina,317,479
Oxxo,404,463
Parking A,687,486
Parking B,686,422
Parking C,684,336
Parking D,684,271
Parking E,687,184
Parking F,685,72
Parking G,581,115
Parking H,584,191
Parking I,594,273
Parking J,595,374
Parking K,599,436
Parking L,601,505
Parking M,612,566
Parking N,613,628
Parking O,543,573
Parking P,365,194
Parking Q,339,492
PCI Tec,394,521
Planta Fisica,579,286
Residencias,691,594
Salon Estructura de Datos,315,399
Terraza,517,325
A,445,648
B,402,599
C,416,551
D,500,644
E,529,525
F,511,505
G,459,459
H,433,485
I,438,443
J,411,411
K,446,406
L,524,429
M,494,556
N,512,353
O,506,353
P,520,261
Q,365,194
R,518,196
S,507,128
T,507,46
U,582,44
V,364,41
W,249,52
X,247,198
Y,453,200
Z,459,292
AA,438,333
AB,327,328
AC,318,427
AD,246,333
